10,-10,16
11,-16,13
16,-14,14
17,-12,13
16,-7,13
7,-6,12
-2,-4,13
-6,-1,14
-7,6,15
-2,13,16
3,18,19
13,16,21
19,8,23
21,0,24
23,-5,25
25,-9,31
13,-10,28
4,-7,28
6,-8,26
12,-6,24
19,0,23
-1,-1,2143
787,3657,-7562
-1158,2402,-7326
-2718,1080,-7007
-3969,-95,-6452
-5194,-1163,-5531
-6439,-2553,-4944
-7623,-3652,-4550
-8895,-4284,-4029
-9870,-4326,-3567
-10178,-4271,-3362
-9777,-4418,-3685
-1,-1,2144
-8808,-4457,-4168
-7382,-4065,-4452
-5657,-3304,-4312
-3765,-2477,-3809
-1830,-1662,-3133
-88,-947,-2450
1267,-440,-1801
2066,-63,-1206
2459,62,-620
2667,47,-126
2715,0,262
2721,-90,525
2591,-200,693
2404,-148,769
2330,-397,623
1753,-739,435
794,-701,528
-7,-236,807
-399,226,932
-789,266,739
-1206,164,370
-1069,-144,232
-1050,32,446
-1353,212,475
-636,-245,69
705,-595,-192
1067,-349,332
1442,122,1164
2464,210,1868
3524,293,2560
4871,-88,3412
6517,-697,4108
8116,-786,4718
9888,-831,5351
11376,-1208,5766
12040,-1695,6196
11908,-1195,6192
9992,-620,6258
7633,-820,5428
6792,-2349,3901
5911,-4370,2890
4165,-4917,2773
1833,-3448,3581
445,-979,4915
299,509,6481
310,721,7205
-601,-220,7061
-1620,-1817,6532
-1802,-3039,5823
-1226,-3585,5189
-397,-3782,4790
466,-3799,4587
1255,-3536,4560
2214,-2994,4578
2903,-2638,4601
3528,-2382,4600
4075,-2025,4515
4608,-1731,4436
5187,-1379,4384
5703,-821,4355
6000,-214,4293
6042,224,4109
5945,454,3769
5861,364,3353
5779,93,2741
5690,-208,2017
5480,-487,1388
-1678,477,-2334
-12526,2972,-6213
-12687,2338,-6855
-13022,1431,-7480
-13529,999,-7844
-13398,1754,-7958
-13017,3228,-7649
-11718,4590,-7114
-9348,5337,-6588
-6354,5856,-6135
-3197,6542,-5716
-640,7243,-5404
1232,7468,-5336
3149,7238,-5563
4715,6679,-5241
6257,6461,-4732
7342,6661,-4135
7600,6958,-3705
6981,6969,-3679
5723,6154,-4158
4479,4558,-5136
-1,-1,2145
3257,2428,-5964
1989,426,-6477
399,-1145,-6450
-1551,-2280,-5978
-3496,-3249,-5225
-5149,-4200,-4387
-6659,-4957,-3608
-8179,-5191,-3138
-9665,-4835,-2916
-10942,-4201,-2701
-11371,-3672,-2448
-11114,-3125,-2721
-11226,-2706,-2884
-10906,-2348,-3006
-10191,-1903,-2962
-9276,-1324,-2706
-8238,-623,-2334
-7035,-7,-1861
-5756,138,-1365
-4291,112,-1041
-2666,148,-769
-912,199,-555
849,137,-461
2566,-47,-524
4187,-293,-690
5820,-605,-837
7569,-1024,-862
9351,-1336,-653
11048,-1452,-167
12576,-1402,663
13734,-831,1862
14158,480,3284
13477,1783,4588
12308,2812,5346
11071,2907,5567
9943,1906,5189
8698,334,4512
7144,-1151,3917
5632,-1965,3660
4092,-2267,4147
2795,-2100,4980
1484,-1759,5861
16,-1864,6781
-998,-2158,6818
-2062,-2797,6696
-2919,-3531,6388
-3173,-4159,6074
-2530,-4553,5749
-1243,-4713,5567
303,-4576,5498
1917,-4007,5515
3656,-3193,5544
4963,-2638,5406
5942,-2537,5057
6800,-2633,4600
7651,-2682,4247
8385,-2625,4212
8907,-2025,4487
8612,-710,4832
7932,623,5106
7209,1523,5232
6552,1861,5143
5844,1595,4878
5110,896,4429
4511,35,3875
4044,-681,3200
3509,-1104,2519
2867,-1142,1838
2260,-739,1045
1654,-175,457
919,447,-148
0,910,-610
-1093,1099,-821
-2096,1095,-1127
-2995,875,-1458
-3897,526,-1826
-4610,251,-2265
-5134,223,-2865
-5885,878,-4765
-6620,1328,-6822
-7287,833,-7480
-8069,421,-7925
-8655,629,-8173
-8941,1481,-8292
-9019,2393,-8331
-8967,2857,-8329
-8566,2945,-8222
-7414,3161,-7915
-5611,3825,-7379
-3300,4710,-6658
-1026,5560,-5866
814,6269,-5192
2232,6606,-4733
3117,6627,-4584
3159,6380,-4709
2406,5848,-5069
1288,4952,-5599
-1,-1,2146
183,3804,-6259
-909,2446,-6736
-2244,794,-6734
-3522,-615,-6575
-4932,-1667,-6201
-6376,-2390,-5653
-7856,-2868,-4987
-9231,-3122,-4227
-10261,-3041,-3399
-10769,-2554,-2529
-10817,-1820,-1672
-10630,-1180,-953
-10296,-782,-497
-10009,-710,-263
-9448,-684,-464
-8867,-667,-763
-8104,-830,-1099
-7093,-988,-1346
-5882,-1010,-1470
-4451,-1013,-1447
-2840,-1082,-1283
-931,-972,-1121
1225,-908,-1032
3635,-1069,-1090
6232,-1421,-1238
9048,-1824,-1261
12217,-2346,-1011
15498,-2759,-398
18537,-2664,812
20281,-1227,2723
19362,1539,5181
16926,4376,7324
14789,5840,8892
13020,6115,9497
10447,5070,9207
6899,2132,8105
4148,-1766,6841
2372,-5120,5695
1424,-6910,5147
1115,-6944,5181
753,-5645,5814
556,-3661,6776
667,-1192,7986
683,-265,8386
713,-503,8102
818,-953,7606
1087,-1330,7058
1492,-1543,6523
2162,-1735,6193
3009,-1866,6017
3746,-1893,5849
4575,-1937,5661
5753,-2067,5572
7195,-1987,5649
8749,-1480,5855
9829,-659,6008
9958,181,5835
9274,669,5352
8493,581,4818
8137,240,3611
7955,-592,2535
7750,-1619,1413
7414,-2574,382
6979,-3154,-432
6261,-3139,-1001
5125,-2582,-1485
3477,-1913,-2019
1288,-1596,-2717
-1150,-1681,-3576
-3701,-1675,-4479
-6361,-1275,-5514
-9998,-310,-6143
-14172,1171,-6805
-17640,2659,-7232
-17865,3448,-7635
-15269,2491,-8330
-13619,-30,-9143
-13799,-2240,-9614
-13938,-2520,-9593
-12118,-849,-8979
-4106,3659,-6806
1466,5721,-5568
1348,6197,-5579
1087,6217,-6068
1388,5399,-6905
1520,3963,-7859
794,2392,-8683
-852,916,-9034
-2877,-740,-8638
-4577,-2240,-7817
-6306,-3295,-6504
-8090,-3664,-4881
-9551,-3341,-3385
-10636,-2901,-2284
-11591,-2933,-1537
-12432,-3292,-1189
-1,-1,2147
-13066,-2680,-1048
-13840,-1175,-955
-13484,996,-2776
-13484,996,-2776
-12572,812,-3776
-11490,907,-4280
-10220,1367,-4250
-8614,2063,-3835
-6403,2939,-3590
-3921,3513,-3459
-535,3221,-3862
3669,2615,-3677
6959,3064,-2865
9497,2345,-2619
11612,1484,-2747
13706,452,-2608
15808,-491,-1994
17929,-1196,-833
19941,-1417,1008
21168,-175,3752
20091,3423,7283
16727,8785,10446
12953,13286,12248
8309,14398,12012
2545,10573,9461
-778,4447,6361
-2448,-1485,3646
-3551,-4959,1449
-5635,-5290,753
-8252,-3200,1226
-9576,-1242,2166
-9132,-1586,2629
-7290,-4136,1995
-3645,-6023,1350
1324,-4656,1446
6867,-2629,2442
12241,-1782,3564
17421,-1342,4337
21172,2,5441
22652,1929,6633
21680,3432,7709
18586,3951,8300
14848,2931,8299
11125,1460,8148
7874,1052,7613
5484,1407,6908
3936,2171,6282
2716,2946,5756
1316,3417,5382
-600,3655,4877
-3025,3844,4485
-5488,4060,4308
-6457,3444,4382
-5440,1828,4526
-4230,-67,4753
-3381,-1759,4875
-1646,-2552,4754
618,-1907,4870
3047,-579,5112
4901,567,5227
6045,962,5029
6475,624,4107
6346,-208,2927
6140,-1199,1600
5851,-2191,224
5264,-2731,-855
4293,-2367,-1550
2907,-1265,-2040
1333,-254,-2648
-477,108,-3410
-2733,25,-4209
-5455,-73,-5150
-8820,121,-5930
-12502,764,-6414
-15478,1619,-6891
-16948,2617,-7325
-18697,2475,-7836
-18343,-683,-9398
