-512,-272,1000
-509,-265,996
-507,-265,1000
-508,-262,997
-505,-257,997
-509,-260,1005
-504,-262,1001
-500,-267,1001
-498,-268,1003
-494,-265,1000
-498,-263,998
-500,-259,1001
-507,-258,998
-505,-267,998
-505,-267,1000
-497,-273,1007
-488,-274,1008
-490,-265,1011
-490,-267,1015
-495,-263,1010
-499,-265,1008
-500,-269,1005
-500,-270,1002
-500,-269,998
-500,-265,998
-493,-263,1006
-498,-262,1003
-499,-264,1005
-497,-265,1005
-503,-272,998
-503,-265,1000
-500,-260,997
-503,-262,998
-503,-255,1006
-500,-260,1006
-497,-263,1012
-500,-263,1008
-500,-265,1005
-499,-263,1008
-504,-259,1005
-498,-259,1008
-498,-259,1006
-494,-259,1005
-495,-265,1002
-498,-267,1003
-497,-268,998
-500,-272,1001
-499,-270,1003
-500,-267,1001
-504,-267,1006
-502,-260,1002
-507,-260,1003
-510,-260,1005
-512,-255,1003
-513,-265,1006
-510,-267,1010
-505,-268,1006
-498,-269,1010
-498,-262,1011
-495,-258,1006
-502,-258,1006
-507,-259,1001
-508,-260,1001
-514,-260,1005
-505,-260,1008
-503,-263,1007
-503,-267,998
-493,-268,996
-498,-272,993
-502,-269,997
-503,-267,1000
-507,-265,1000
-504,-264,1003
-503,-269,1007
-502,-272,1015
-500,-269,1017
-499,-265,1020
-494,-267,1013
-494,-264,1003
-497,-270,1001
-497,-273,996
-499,-270,997
-498,-268,998
-499,-268,998
-502,-270,1000
-499,-267,1001
-500,-269,1007
-498,-268,1006
-493,-264,1008
-492,-265,1010
-493,-269,1002
-490,-267,1005
-493,-264,1002
-492,-263,1001
-489,-259,1003
-492,-258,998
-493,-257,1000
-498,-258,1001
-495,-254,1000
-497,-253,1005
-494,-255,998
-497,-249,995
-498,-254,993
-493,-257,991
-495,-259,997
-494,-259,995
-494,-252,1002
-498,-249,1001
-497,-240,996
-493,-244,998
-494,-247,991
-495,-247,992
-495,-252,995
-498,-253,997
-494,-254,1003
-494,-253,1003
-494,-258,1001
-492,-264,998
-493,-268,996
-492,-269,996
-492,-267,996
-490,-257,997
-490,-255,997
-487,-258,997
-484,-258,1001
-487,-259,998
-490,-257,1000
-490,-254,1005
-492,-257,1006
-490,-262,1015
-490,-260,1015
-499,-264,1012
-502,-260,1010
-503,-259,1003
-502,-259,1005
-494,-259,1003
-490,-260,997
-485,-255,997
-482,-264,998
-482,-265,996
-483,-264,1003
-484,-265,1002
-489,-255,1000
-489,-253,1000
-488,-254,997
-494,-259,997
-490,-267,996
-494,-268,995
-497,-265,1003
-494,-264,1002
-494,-263,1001
-494,-262,1002
-494,-263,996
-493,-267,997
-499,-263,996
-497,-259,993
-497,-260,991
-495,-254,996
-490,-258,998
-485,-257,1006
-485,-260,1006
-487,-265,998
-485,-267,998
-493,-273,992
-492,-273,995
-494,-272,996
-497,-270,996
-497,-267,1000
-495,-259,998
-498,-255,1005
-500,-249,1002
-502,-250,1000
-507,-259,1001
-505,-260,993
-510,-265,996
-513,-265,995
-508,-263,995
-504,-263,1000
-497,-263,1002
-493,-263,1008
-494,-265,1010
-498,-265,1011
-498,-264,1008
-498,-268,1005
-492,-268,1006
-490,-268,998
-490,-267,998
-490,-264,997
-494,-257,991
-493,-258,996
-494,-259,1001
-492,-259,1001
-497,-263,1007
-498,-264,1008
-495,-265,1005
-498,-263,1005
-502,-264,1001
-502,-259,997
-505,-260,1002
-502,-262,1006
-493,-265,1003
-493,-268,1011
-488,-270,1005
-490,-274,1002
-494,-270,1006
-495,-268,1001
-498,-267,1002
-498,-267,1005
-497,-263,1005
-493,-265,1005
-494,-257,1007
-498,-257,1008
-503,-259,1010
-505,-259,1013
-507,-268,1008
-504,-267,1002
-505,-265,1002
-503,-270,998
-498,-269,1001
-498,-265,1005
-490,-263,1001
-489,-255,1000
-492,-250,1000
-490,-258,1000
-488,-258,996
-492,-259,1000
-487,-258,998
-487,-254,997
-493,-262,1005
-489,-267,1002
-494,-273,1006
-497,-272,1007
-495,-263,1002
-494,-259,1003
-492,-255,1002
-484,-255,1001
-484,-257,1001
-487,-257,996
-490,-262,992
-498,-264,996
-502,-268,1000
-507,-268,1006
-503,-263,1011
-503,-263,1006
-499,-258,1002
-495,-258,1002
-497,-262,998
-494,-254,1000
-493,-258,1006
-493,-257,1003
-493,-258,1007
-490,-263,1007
-495,-263,1007
-498,-265,1007
-502,-258,1000
-504,-257,1001
-498,-255,1000
-494,-252,996
-497,-253,1001
-490,-253,1001
-490,-257,998
-492,-257,995
-489,-254,993
-495,-257,992
-500,-253,993
-500,-257,1002
-498,-265,1005
-503,-265,1013
-503,-269,1012
-503,-267,1011
-503,-260,1011
-499,-262,1006
-503,-263,1006
-505,-263,1005
-507,-263,1002
-505,-259,998
-502,-259,993
-497,-257,995
-493,-263,997
-495,-264,993
-497,-260,1002
-505,-263,1003
-513,-260,998
-514,-259,1002
-514,-262,996
-510,-262,993
-507,-262,993
-504,-263,992
-502,-264,996
-500,-267,998
-503,-264,1007
-498,-268,1008
-498,-265,1005
-497,-264,1007
-494,-268,1001
-502,-267,1002
-504,-269,1007
-507,-273,1002
-502,-269,1005
-503,-265,1007
-503,-264,1008
-497,-264,1011
-502,-267,1016
-499,-268,1018
-492,-267,1015
-497,-263,1018
-499,-260,1011
-499,-262,1002
-502,-263,1002
-499,-267,1000
-498,-270,1000
-495,-272,1003
-498,-273,1007
-504,-267,1008
-505,-263,1008
-509,-264,1007
-503,-263,1003
-494,-268,1005
-494,-269,1003
-494,-265,1003
-505,-264,1003
-512,-264,1000
-509,-270,1005
-510,-268,1002
-510,-265,1002
-510,-264,1001
-513,-260,995
-512,-264,1002
-508,-263,1005
-508,-265,1003
-505,-263,1007
-503,-263,1002
-505,-265,1002
-504,-265,1002
-504,-265,1001
-508,-263,1001
-500,-265,996
-507,-265,993
-508,-269,991
-499,-272,992
-507,-270,991
-502,-267,997
-502,-264,1003
-508,-264,1001
-505,-267,1005
-505,-265,1000
-505,-268,1000
-500,-270,1001
-498,-268,1002
-497,-274,1006
-498,-272,1000
-502,-268,997
-500,-272,996
-499,-268,991
-497,-267,993
-493,-270,998
-495,-264,997
-499,-268,1001
-495,-268,1001
-498,-267,1001
-498,-269,1003
-498,-265,1007
-500,-267,1007
-503,-263,1006
-502,-265,1006
-499,-264,1005
-504,-263,1006
-504,-267,1006
-507,-260,1006
-502,-260,1005
-492,-259,1000
-484,-259,1000
-482,-262,992
-487,-262,987
-500,-264,990
-507,-262,988
-507,-263,992
-504,-265,996
-498,-267,997
-494,-264,997
-495,-263,998
-498,-265,997
-497,-263,1002
-497,-264,1000
-494,-262,1003
