162,1077,3920
170,1066,3902
137,1059,3899
190,1059,3901
151,1080,3898
186,1069,3901
-1,-1,943
141,1065,3909
161,1070,3940
154,1064,3887
159,1071,3936
171,1079,3889
147,1074,3909
155,1038,3945
129,1073,3888
129,1075,3904
171,1031,3921
132,1080,3926
166,1053,3941
170,1060,3893
147,1062,3914
155,1057,3924
167,1098,3898
175,1045,3874
158,1046,3899
180,1028,3938
162,1048,3885
165,1072,3938
151,1075,3900
170,1051,3908
-1,-1,944
126,1103,3929
185,1061,3902
185,1051,3911
165,1025,3929
181,1045,3918
149,1061,3936
160,1076,3946
189,1063,3879
172,1077,3896
160,1062,3909
188,1014,3930
190,1045,3890
185,952,3943
230,760,3903
191,1152,3906
-2,1298,3733
66,1414,3925
451,795,3972
407,781,4003
232,1056,4039
116,1046,3851
175,852,3856
270,997,4004
174,1085,3971
129,1142,3879
-1,-1,945
106,1002,3924
-607,895,3967
-676,932,3987
312,1180,3986
1057,1135,3802
-163,900,3832
-525,1050,4007
821,1266,3940
729,1026,3789
-578,890,3934
-61,1144,4031
1067,1166,3881
112,943,3867
-648,996,3984
566,1225,3971
895,1074,3816
-431,902,3887
-296,1081,4030
1020,1217,3825
412,967,3811
-689,912,3994
204,1149,3987
982,1154,3864
-1,-1,946
51,961,3877
74,1018,3957
207,1033,3923
157,1038,3925
152,1067,3921
162,1044,3962
191,1056,3916
-1,-1,2143
-7959,-9758,-1262
-6902,-6870,-662
-4558,-5705,-737
-1,-1,2144
-3034,-4628,-481
-3135,-3452,-414
-3410,-2632,-679
-3131,-2898,-923
-2743,-3562,-956
-3330,-3526,-897
-4418,-5475,-1689
-5672,-6757,-2330
-5339,-7836,-3238
-4364,-12337,-2569
-4376,-12181,-2374
-3872,-8584,-2441
-1396,-8261,-2258
-348,-6517,-2297
-66,-5267,-1764
1038,-4348,-1287
2048,-3580,-963
-923,-7597,-1072
-3329,-11176,-2598
-4793,-10416,-3700
-6137,-10985,-3684
-5652,-10110,-2929
-4824,-8471,-1314
-1,-1,2145
-6807,-6301,-618
-4144,-5668,-559
-2531,-5846,-1256
-2474,-4688,-1719
-2618,-3022,-1515
-2767,-2484,-1428
-3134,-3457,-1819
-3941,-7992,-2007
-3543,-8396,-1369
-4721,-9161,-1953
-3583,-11065,-2212
-2548,-10308,-3221
-983,-8886,-3072
-903,-6710,-2065
-239,-6620,-1579
1191,-5350,-1026
1507,-4214,-1011
743,-4293,-727
572,-5155,-927
-526,-8096,-1760
-2589,-11176,-2614
-4782,-12188,-3307
-5020,-10993,-3836
-4630,-10719,-2322
-1,-1,2146
-5153,-7794,-1061
-5186,-6320,-630
-3452,-5416,-1318
-2882,-5621,-1512
-2711,-4775,-1718
-2941,-4111,-2112
-2921,-3733,-2550
-3795,-11465,-2814
-3394,-12537,-2103
-3077,-12608,-2348
-2179,-12626,-3755
-492,-10752,-2864
-654,-8677,-2717
94,-7085,-2556
2119,-6924,-1568
3563,-5525,-1263
2672,-4670,-954
2113,-5409,-276
-330,-9270,-252
-4143,-13295,-2369
-4598,-13134,-4384
-5096,-12731,-3105
-7424,-9953,-1457
-5092,-7264,-1180
-1,-1,2147
-1119,-8805,-2049
-2013,-8072,-2152
-4008,-6300,-2777
-4437,-619,-680
-3447,-1510,-1292
-4043,-8251,-2034
-630,-8652,1329
-1356,-8169,-1050
-3844,-10077,-2565
-4173,-9035,-4113
-3870,-16349,-3773
-1605,-11568,-1314
-315,-8380,-1805
-490,-6550,-1129
-207,-5556,-2134
2202,-5042,-2124
3969,-4684,-1055
2210,-4204,-736
923,-5202,219
-2204,-12105,-1647
-4883,-13986,-3182
-5816,-13687,-4174
-5474,-14951,-3068
-8151,-10921,-2206
-8042,-5842,851
-1,-1,2148
-3814,-5816,1890
-2508,-5745,1609
-3565,-3585,168
-2959,-3606,-278
-2842,-3575,-916
-2475,-4213,-1023
-2335,-6370,-825
-3065,-9350,-510
-6229,-13097,-1069
-2855,-17559,-2764
784,-15481,-1421
2285,-10130,-1911
714,-5872,-1713
-867,-4462,-1644
-432,-5248,-782
912,-4939,-1177
2563,-4149,-809
2739,-4575,-1095
2173,-6211,-947
-1658,-10444,-1881
-4561,-13449,-3412
-5179,-12934,-4221
-1,-1,2149
-5268,-7159,-817
-1787,-8551,668
-4496,-5675,999
-4471,-4059,-120
-3835,-3306,-1025
-3532,-4401,-1368
-2874,-6669,-934
-2276,-8782,-1221
-2152,-10345,-2581
-3090,-12083,-4038
-3173,-14220,-3226
-2541,-11776,-2883
-745,-8848,-1915
-38,-7320,-1285
872,-5568,-2170
1286,-4745,-2067
3127,-4647,-1745
3453,-5581,-665
1571,-6412,-635
-2295,-11886,-2634
-6435,-13596,-1977
-5536,-9523,-4168
-3595,-11280,-3398
-4186,-11539,-2262
-5386,-8392,-808
-1,-1,2150
-3788,-8375,-1401
-1770,-7996,-762
-4451,-5423,-497
-3875,-3801,-1082
-3155,-3946,-1767
-3574,-7939,-1295
-2627,-7901,-600
-3193,-10580,-1732
-2704,-11053,-3604
-2368,-12169,-4628
-1841,-13645,-3057
-967,-9492,-2223
33,-6866,-1270
605,-5672,-1182
1938,-4920,-1296
2499,-4407,-1335
2662,-4600,-1213
825,-6503,-1350
-1291,-9227,-1777
-3423,-11971,-2972
-4780,-13556,-3345
-5218,-12092,-3235
-4887,-10015,-2674
-4424,-7997,-1549
-4173,-6484,-881
-1,-1,2151
-3089,-5149,-557
-3314,-5120,-273
-3388,-3859,-277
-2937,-3821,-1614
-2864,-5218,-1623
-2538,-7040,-1456
-2702,-8481,-1773
-3321,-10027,-2514
-3817,-11546,-3245
-3415,-12459,-4086
-1664,-12510,-2665
565,-8851,-1741
364,-7039,-2126
2010,-5938,-1846
4038,-5395,-1579
2969,-5159,-1067
1469,-5860,-489
-2020,-11294,-2127
-4306,-13539,-2681
-5226,-12412,-4092
-4824,-11408,-3849
-5432,-11215,-2161
-5750,-7370,-756
-4235,-7101,-957
-1,-1,2152
-4629,-837,1556
